,Latitude,Longitude
110,16.063833,75.924106
111,15.899076,75.932457
112,16.09851,75.857045
114,15.985381,75.870481
115,16.097321,75.948619
116,16.093687,75.864756
117,16.056013,75.958237
118,16.135706,75.917571
119,16.099348,75.850158
120,16.135827,75.919221
121,16.070608,75.959307
122,16.092199,75.869606
123,16.092257,75.867214
124,15.93417,75.879748
125,16.061612,75.925439
126,16.092431,75.865433
127,16.083886,75.904352
128,16.087244,75.897017
129,16.055873,75.945902
130,16.056978,75.943648
131,16.056844,75.975132
132,16.083766,75.904571
133,16.111022,75.890406
134,16.091968,75.873126
135,16.097865,75.860943
136,16.056743,75.942516
137,15.950164,75.952384
138,16.058025,75.938222
139,15.961122,75.915606
140,16.089249,75.869187
141,15.928872,75.881013
142,16.098729,75.855943
143,16.057126,75.946552
144,16.073867,75.959665
147,15.986975,75.90059
148,16.064087,75.924273
149,16.138377,75.91619
150,16.082721,75.906887
153,16.092219,75.873248
154,15.933968,75.884584
156,16.074873,75.921105
157,15.934318,75.879312
158,15.934547,75.886343
161,16.129189,75.952133
165,16.10885,75.923789
167,16.061427,75.869575
168,16.11368,75.876216
171,16.057654,75.9385
175,16.055584,75.947107
176,16.056977,75.97667
178,16.080778,75.910941
179,16.070342,75.924306
181,16.058068,75.94061
182,16.06321,75.924546
183,16.05429,75.869788
184,16.056537,75.943641
185,15.928153,75.9214
186,15.960983,75.860088
187,15.939462,75.869741
188,15.938216,75.871288
189,16.082387,75.907454
190,15.935512,75.897026
191,16.057807,75.990067
192,16.058792,75.933702
193,16.137448,75.89697
194,16.033559,75.844868
195,15.964185,75.966383
196,16.059462,75.930457
197,16.075308,75.920707
198,15.911742,75.928245
199,16.081628,75.873983
200,16.058391,75.935628
201,15.938607,75.915447
202,16.078679,75.915618
203,16.086508,75.898677
204,16.139668,75.91741
205,16.082332,75.907499
206,16.093941,75.86463
207,16.098566,75.856632
208,16.002639,75.902538
209,16.099255,75.850884
210,15.935777,75.916076
211,16.092248,75.865578
212,16.036786,75.871039
213,16.092121,75.873383
214,16.054944,75.950843
215,16.064731,75.923941
217,16.073642,75.92228
219,16.055146,75.953317
220,16.03669,75.935767
221,16.129182,75.952067
222,16.013492,75.884934
223,16.092348,75.86783
224,16.096861,75.862252
226,16.089249,75.868983
228,16.087535,75.895879
229,16.103525,75.864459
234,15.929906,75.893596
235,16.057933,75.995736
236,16.092349,75.867658
239,16.104667,75.865067
240,15.9188,75.925696
243,15.936715,75.905255
244,16.09239,75.867766
246,16.093841,75.864704
247,15.940121,75.911959
248,16.079447,75.914303
249,16.052139,75.943097
251,16.045729,75.938774
252,16.058228,75.936228
253,16.065588,75.924162
255,15.253212,75.123252
258,16.075538,75.964201
259,15.878656,75.966762
261,16.099589,75.8483479
262,16.057778,75.9381619
264,16.092244,75.868776
267,16.057992,75.998305
269,16.057254,75.981838
271,16.056628,75.970516
272,16.087311,75.896982
273,16.057404,75.93612
276,16.026003,75.881741
278,16.098799,75.854683
280,16.123265,75.321256
434,15.892741,75.581578
435,15.851545,75.698028
436,15.976847,75.695051
437,15.929347,75.676761
438,15.890557,75.469797
439,15.96597,75.676762
440,15.909587,75.501692
441,15.90917,75.581319
442,15.875367,75.731803
443,15.915299,75.671588
444,15.921427,75.678828
445,15.900279,75.496895
446,15.843082,75.649573
448,15.896439,75.494986
449,15.867395,75.62119
450,15.912529,75.684443
451,15.926449,75.678171
452,15.904221,75.54487
453,15.950922,75.743665
454,15.941142,75.43769
455,15.840941,75.674155
456,15.904187,75.544921
457,15.934408,75.675731
458,15.899976,75.496125
459,15.91768,75.505833
460,15.917508,75.505802
461,15.947088,75.755113
462,15.918161,75.506082
463,15.894321,75.6995
464,15.915242,75.671551
465,15.96412,75.687764
466,15.902731,75.691515
468,15.97823,75.696044
469,15.92957,75.677053
471,15.986257,75.662152
473,15.922286,75.465877
475,15.942916,75.675922
476,15.840096,75.600166
477,15.904535,75.526684
478,15.904204,75.544952
479,15.917824,75.679524
480,15.867169,75.735497
481,15.849606,75.749165
482,15.944504,75.676847
483,15.90451,75.526746
485,15.863124,75.522123
486,15.911809,75.662247
487,15.934084,75.675773
488,15.965102,75.67747
489,15.9918,75.660558
490,15.892593,75.606496
491,15.902835,75.63523
492,15.872381,75.556758
496,15.957521,75.678026
497,15.862248,75.738936
498,15.919005,75.472551
501,15.920661,75.469321
502,15.869302,75.734125
503,15.903169,75.63646
504,15.899267,75.628457
505,15.909079,75.507525
506,15.892577,75.583825
507,15.891442,75.593022
508,15.900106,75.496935
510,15.925063,75.680418
511,15.900829,75.497141
513,15.892327,75.604476
516,15.964046,75.687718
518,15.922247,75.678581
519,15.847737,75.750268
524,15.906497,75.461287
526,15.950764,75.743732
529,15.931322,75.677045
530,15.917964,75.679779
532,15.906126,75.644381
534,15.932266,75.4653
535,15.912618,75.485652
536,15.891794,75.593665
537,15.947525,75.756563
538,15.9074,75.500676
540,15.976823,75.695443
541,15.984902,75.665895
542,15.839079,75.611207
543,15.893291,75.576317
545,15.893635,75.613922
546,15.852245,75.542067
547,15.903052,75.562439
548,15.899372,75.523743
549,15.901324,75.632791
550,15.876657,75.721912
552,15.842161,75.751181
553,15.932787,75.675826
554,15.859637,75.543875
555,15.846334,75.611427
556,15.923437,75.679273
557,15.892286,75.673517
558,15.977471,75.696365
559,15.98833,75.659884
560,15.881149,75.497693
561,15.927132,75.503231
562,15.96977,75.710153
563,15.935525,75.675848
564,15.94888,75.806757
565,15.890267,75.682158
566,15.901381,75.657096
567,15.890558,75.70328
568,15.874665,75.795463
569,15.91524,75.479356
570,16.009336,75.62475
571,15.908609,75.494284
572,15.857622,75.742487
573,15.980687,75.697526
574,15.932131,75.51236
578,15.879877,75.801259
579,15.905632,75.642022
582,15.914622,75.670336
583,15.879707,75.655821
584,15.951712,75.716677
585,15.974077,75.704106
593,15.840832,75.751022
594,15.875297,75.721837
595,15.922514,75.679653
596,15.908582,75.50285
597,15.904106,75.528894
598,15.930628,75.676407
602,15.933594,75.442774
606,15.88376,75.619478
607,15.948094,75.760697
609,15.911675,75.754716
610,15.936135,75.438692
617,15.847865,75.724528
624,15.939818,75.50622
625,15.893846,75.503219
628,15.892449,75.607742
629,15.909464,75.501282
631,15.913667,75.505423
634,15.878656,75.712328
638,15.973889,75.704591
640,15.891275,75.591834
642,15.958838,75.727883
643,15.947341,75.749029
644,15.876297,75.717687
645,15.897938,75.495651
649,15.902178,75.540518
650,15.872206,75.723883
651,15.939645,75.653103
653,15.890951,75.601263
655,15.98289,75.700843
656,15.891095,75.468553
658,15.9633,75.687925
663,15.896165,75.494913
664,15.929185,75.451587
665,15.93245,75.443837
666,15.941192,75.582433
667,15.908405,75.501179
669,15.90348,75.638123
671,15.946831,75.678401
672,15.909389,75.495883
673,15.914718,75.479663
677,15.910741,75.502209
678,15.893652,75.587161
679,15.915573,75.672335
681,15.933328,75.675965
682,15.912356,75.760893
684,15.918247,75.680028
687,15.884635,75.497325
900,16.176249,75.885572
901,16.23088,75.968488
902,16.30913,75.917555
903,16.286919,75.927078
904,16.310534,75.904174
905,16.311575,75.91888
906,16.228365,75.970056
907,16.112005,75.773632
908,16.152548,75.754976
909,16.157553,75.734296
910,16.186152,75.620004
911,16.164537,75.793792
912,16.203678,75.8145979
913,16.17621,75.635757
914,16.10081,75.8028
915,16.145735,75.745522
916,16.101868,75.781109
917,16.257339,75.866113
918,16.183507,75.736695
919,16.314407,75.854491
920,16.182796,75.62917
922,16.155649,75.738674
923,16.289516,75.924951
924,16.100036,75.77689
925,16.152373,75.740995
926,16.314489,75.901757
927,16.231038,75.969127
928,16.099567,75.795253
929,16.244924,75.85581
930,16.283016,75.929525
931,16.157541,75.7832059
932,16.101562,75.815747
933,16.137677,75.7526949
934,16.101455,75.805017
935,16.302538,75.891478
936,16.317446,75.88975
937,16.146567,75.745556
939,16.099451,75.794797
940,16.178688,75.854289
941,16.282618,75.892439
942,16.101075,75.805188
944,16.157029,75.781801
945,16.257869,75.867185
947,16.136606,75.751803
948,16.314944,75.901715
949,16.309978,75.917443
950,16.18497,75.620077
951,16.253127,75.952646
952,16.110121,75.77462
953,16.149611,75.69677
954,16.183444,75.629704
958,16.240887,75.64219
959,16.264575,75.872314
960,16.147606,75.727405
961,16.100122,75.801481
962,16.155662,75.738469
963,16.151996,75.692909
964,16.132346,75.695248
972,16.264873,75.871924
974,16.29106,75.923288
977,16.093908,75.776206
979,16.243039,75.960339
980,16.230997,75.641413
981,16.186071,75.619156
982,16.201321,75.653966
983,16.195212,75.838875
984,16.256756,75.950411
986,16.220424,75.894454
987,16.111631,75.773387
988,16.153271,75.760691
990,16.280425,75.932751
993,16.160663,75.734733
995,16.243423,75.960096
1001,16.172212,75.724722
1002,16.10278,75.780754
1003,16.290844,75.923944
1006,16.147483,75.729686
1011,16.151238,75.693897
1016,16.183954,75.625084
1023,16.242777,75.96048
1024,16.15282,75.755991
1025,16.203311,75.814911
1035,16.152854,75.764347
1036,16.185215,75.622674
1039,16.10383,75.802567
1042,16.256735,75.950096
1043,16.174863,75.88867
1044,16.239722,75.835185
1046,16.24308,75.9600229
1047,16.309375,75.918099
1048,16.315676,75.90166
1049,16.161382,75.388327
1050,16.144484,75.664036
1051,16.280751,75.906195
1052,16.29779,75.916142
1053,16.161727,75.785989
1056,16.194225,75.838839
1057,16.128024,75.696242
1058,16.243011,75.959954
1059,16.092658,75.807195
1060,16.237541,75.63477
1061,16.278425,75.89796
1062,16.183028,75.62808
1063,16.117642,75.768663
1064,16.306387,75.922622
1065,16.161959,75.791357
1066,16.154948,75.736229
1067,16.144857,75.691686
1072,16.123156,75.764288
1074,16.256786,75.950221
1075,16.156403,75.777774
1076,16.129843,75.758878
1077,16.309956,75.918066
1078,16.248106,75.956411
1079,16.231816,75.655552
1081,16.300984,75.887301
1084,16.283254,75.89201
1086,16.101198,75.823735
1088,16.24463,75.900262
1090,16.158501,75.785676
1091,16.255733,75.818171
